OptName;LfdNr;Name;Typ;Startzeit;Endzeit;Dauer;Fval_Opt;Masse_fval;Masse_phys;Energie_fval;Energie_phys;Antriebskraft_fval;Antriebskraft_phys;Kondition_fval;Kondition_phys;Nachgiebigk_fval;Nachgiebigk_phys;Steifigk_phys;Materialspannung;num_succ;num_fail;comptime_sum;MaxTiltAngle
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh3;3;P6PRRRRR6V2G8P3A1;2;13.02.2020 09:04:46;13.02.2020 11:07:52;7385.851859;412.368443539409;67.5939738775307;10.6577163601207;405.66052015276;74.0216261864814;296.389542015078;50.2402302777596;125.947935241369;55.1036025634683;99.2956475474551;0.000903800069797636;1106.43939231373;0.541393875585928;411;2689;7349.50356699999;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh3;4;P6PRRRRR6G8P3A1;2;13.02.2020 09:04:46;13.02.2020 11:22:40;8273.706808;517.636756991708;54.4601704178728;8.57551256864195;515.729880638083;105.06794001016;696.549383232516;193.658903965536;156.698005792523;152.124527907682;96.8052216937544;0.000199101535343083;5022.56297660812;0.982931057017976;189;2911;8243.810473;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh4;1;P6RRRRRR10V3G1P1A1;2;13.02.2020 17:17:43;13.02.2020 18:58:18;6034.528456;451.053814177905;83.261822037755;13.1538222655729;487.513037667609;96.1520864114403;162.46756095325;26.0892055703035;73.9506230213127;10.3163860573057;99.6180558233862;0.00166676748330973;599.963708203789;0.279386825325868;86;3014;6001.659414;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh4;2;P6RRRRRR10G1P1A1;2;13.02.2020 17:17:43;13.02.2020 19:05:53;6490.105616;480.259012666567;78.3426166489673;12.3685282264187;502.160975370986;100.681205370413;250.125421851189;41.4444395343104;97.339147459289;21.803158880531;99.0739371438153;0.00068739920195373;1454.75874449344;0.331058064635065;87;3013;6459.04979400001;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh4;3;P6PRRRRR6V2G8P3A1;2;13.02.2020 17:17:43;13.02.2020 19:58:18;9634.759094;421.937016393661;61.1353086388265;9.63274101327191;422.305360978301;78.1495957574883;157.421101476041;25.2442846491431;104.882229860846;27.8020708175329;97.2489088900052;0.000231262219872521;4324.09582746041;0.245077817609387;756;2344;9598.73327999999;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh4;4;P6PRRRRR6G8P3A1;2;13.02.2020 17:17:43;13.02.2020 19:28:58;7874.654879;502.365733749384;52.8389517207433;8.31903482951908;501.820260875216;100.573493147658;640.362516929927;157.773299122426;131.056706791234;65.1331712432603;97.4988931094161;0.000254404240767296;3930.75208567259;0.697976271168356;144;2956;7844.11182100001;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh5;1;P6RRRRRR10V3G1P1A1;2;14.02.2020 01:33:04;14.02.2020 03:09:31;5786.514307;441.617774402051;58.7049969881888;9.24758604516515;443.092795540475;83.5487999410854;417.070187618891;76.8334531917855;128.401848329118;59.7080803395608;95.9726919299868;0.000157864831493264;6334.53309733949;0.417203612947478;67;3033;5755.899967;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh5;2;P6RRRRRR10G1P1A1;2;14.02.2020 01:33:04;14.02.2020 03:13:17;6012.635362;537.647571292953;66.0438115725092;10.4115150115736;537.597477624596;112.568480733469;612.229156703498;143.349965889747;108.902355750727;31.6594142597335;97.5090331660057;0.000255440916309681;3914.79961177269;0.783561105236376;52;3048;5984.08048900002;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh5;3;P6PRRRRR6V2G8P3A1;2;14.02.2020 01:33:04;14.02.2020 04:03:35;9030.511419;377.053582210258;66.4710696794036;10.4793608174615;384.370317648307;68.9681954877034;162.116202487104;26.0302662176461;117.378073685642;41.6750624021525;98.7667472438636;0.000516147344834972;1937.43125874208;0.350174986993631;487;2613;8998.495293;0
IFToMMDACH_Vgl_Winkel0_20200212_nachts_Wdh5;4;P6PRRRRR6G8P3A1;2;14.02.2020 01:33:04;14.02.2020 03:51:29;8304.905859;467.643167982571;44.5952210048638;7.01648132438177;466.879531529329;90.1009674781478;254.643541734949;42.2785132507626;88.8816409001712;16.6196294645188;97.1333262943209;0.000221926000500111;4506.00649651909;0.110965734615484;303;2797;8268.87821600001;0
